"","KO","Means","SD"
"num.edges",4060,4060,0
"num.pos.edges",3158,0,0
"num.neg.edges",902,0,0
"num.vertices",197,197,0
"connectance",0.210297316896302,0.210297316896302,0
"average.degree",41.2182741116751,41.2182741116751,0
"average.path.length",1.99113962858572,1.78980731378846,7.61476307802813e-05
"diameter",4.99442721351879,2.85,0.358870281282637
"edge.connectivity",2,26.56,1.92967260529769
"clustering.coefficient",0.786382648441206,0.21010203950142,0.00171744240010687
"no.clusters",1,1,0
"centralization.degree",0.223376152491453,0.0830700300424738,0.0124446870207797
"centralization.betweenness",0.0509056452701005,0.003908980883803,0.000718064854269361
"centralization.closeness",0.23990254561662,0.0546457466258236,0.00861879514734976
