"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"OTU1974",10,0.336769759450172,60.4133582165513,10
"OTU5230",10,0.336769759450172,60.4133582165513,10
"OTU693",39,0.380582524271845,180.370187376361,39
"OTU3439",14,0.373333333333333,207.363542782606,14
"OTU1052",3,0.257555847568988,0,3
"OTU2443",28,0.361623616236162,141.182338569723,28
"OTU2946",11,0.336769759450172,89.8141593442694,11
"OTU5435",11,0.340277777777778,22.0636981618403,11
"OTU5516",38,0.417910447761194,53.2288768402496,38
"OTU5784",43,0.431718061674009,215.295502548044,43
"OTU4957",44,0.442437923250564,785.52663606462,44
"OTU2879",69,0.461176470588235,42.3793868600082,69
"OTU3334",76,0.519893899204244,143.978301808598,76
"OTU4472",69,0.503856041131105,85.47521890829,69
"OTU691",77,0.534059945504087,123.019857100841,77
"OTU4015",80,0.536986301369863,139.587492141338,80
"OTU5673",79,0.522666666666667,156.637043389906,79
"OTU3048",82,0.536986301369863,374.79138398698,82
"OTU2895",71,0.506459948320413,50.0444236313018,71
"OTU2897",46,0.466666666666667,305.448445667518,46
"OTU6316",77,0.536986301369863,88.7678455985041,77
"OTU4003",71,0.502564102564103,40.4091668039017,71
"OTU1848",70,0.49620253164557,32.9676512012367,70
"OTU5689",70,0.503856041131105,121.191560480889,70
"OTU3678",71,0.502564102564103,40.4091668039017,71
"OTU4582",66,0.49,18.4622830024488,66
"OTU2220",65,0.493702770780856,165.140055143861,65
"OTU1691",72,0.521276595744681,67.7482225571917,72
"OTU2889",67,0.459016393442623,38.8356589304765,67
"OTU2029",70,0.505154639175258,46.7576125278613,70
"OTU198",70,0.509090909090909,247.874636893937,70
"OTU1250",76,0.53551912568306,83.0777286288354,76
"OTU1749",32,0.445454545454545,168.825188421444,32
"OTU4511",38,0.461176470588235,260.198828749514,38
"OTU3330",68,0.493702770780856,26.438437628098,68
"OTU4583",73,0.522666666666667,70.5417497885237,73
"OTU5573",61,0.465558194774347,104.304481719937,61
"OTU6170",74,0.519893899204244,436.602033786861,74
"OTU5988",38,0.456876456876457,210.731679361016,38
"OTU2740",53,0.49620253164557,353.573460275343,53
"OTU3727",68,0.493702770780856,28.7004158645482,68
"OTU3726",70,0.501278772378517,35.2524548377836,70
"OTU5019",77,0.538461538461538,158.217965940839,77
"OTU1978",72,0.510416666666667,103.399188883889,72
"OTU2741",57,0.453703703703704,9.69563659812168,57
"OTU2324",80,0.526881720430108,338.912220014991,80
"OTU1897",71,0.509090909090909,67.6803992268828,71
"OTU5536",51,0.440449438202247,13.1566389980055,51
"OTU6298",58,0.454756380510441,283.099438000746,58
"OTU473",69,0.509090909090909,46.5841367416305,69
"OTU3728",72,0.521276595744681,39.8407490463003,72
"OTU3333",77,0.506459948320413,254.965717586503,77
"OTU1994",74,0.513089005235602,130.290377391935,74
"OTU2357",62,0.482758620689655,528.408659944085,62
"OTU4330",80,0.524064171122995,165.770412417043,80
"OTU3750",75,0.534059945504087,73.5496264490356,75
"OTU6327",71,0.514435695538058,95.69810396738,71
"OTU5085",34,0.453703703703704,235.170808561347,34
"OTU3331",75,0.534059945504087,73.5496264490356,75
"OTU856",62,0.483950617283951,17.1992355746172,62
"OTU1663",79,0.545961002785515,114.989302330163,79
"OTU4328",74,0.532608695652174,72.0283478614214,74
"OTU4625",72,0.510416666666667,1103.76725227349,72
"OTU516",75,0.525469168900804,189.16465275523,75
"OTU4542",48,0.4688995215311,391.005837235246,48
"OTU2504",71,0.514435695538058,95.69810396738,71
"OTU3724",72,0.521276595744681,39.8407490463003,72
"OTU3725",75,0.52972972972973,87.9955138604246,75
"OTU6010",74,0.526881720430108,55.6572456060252,74
"OTU6334",72,0.514435695538058,62.9125039626656,72
"OTU1819",76,0.502564102564103,642.522774161514,76
"OTU6096",66,0.471153846153846,54.2802004910488,66
"OTU670",58,0.464454976303318,381.146355070032,58
"OTU3881",69,0.5,45.1002794321909,69
"OTU780",85,0.534059945504087,1101.94377779811,85
"OTU983",75,0.53551912568306,93.0239338551984,75
"OTU2471",72,0.47921760391198,63.8280641494498,72
"OTU2815",80,0.524064171122995,164.88190827533,80
"OTU2881",71,0.509090909090909,67.6803992268828,71
"OTU5011",66,0.455813953488372,26.9884170730183,66
"OTU1693",72,0.521276595744681,39.8407490463003,72
"OTU5851",42,0.406639004149378,0.0612765957446808,42
"OTU2264",73,0.517150395778364,53.2094481087836,73
"OTU6325",79,0.524064171122995,248.499388421429,79
"OTU643",68,0.494949494949495,726.370891969408,68
"OTU1715",33,0.447488584474886,28.903657621799,33
"OTU2999",59,0.488778054862843,90.7266033555546,59
"OTU4286",79,0.509090909090909,743.91189455189,79
"OTU3944",41,0.4375,600.512870849562,41
"OTU4075",70,0.49620253164557,32.9676512012367,70
"OTU3283",75,0.486352357320099,249.255729053302,75
"OTU2849",48,0.450574712643678,91.5980992776511,48
"OTU5761",41,0.430769230769231,33.767875564125,41
"OTU341",41,0.428884026258206,33.7665107822341,41
"OTU5850",41,0.427947598253275,62.8121038647248,41
"OTU2850",47,0.446469248291572,71.839370602191,47
"OTU5330",29,0.429824561403509,55.3650170991179,29
"OTU5332",44,0.444444444444444,55.0845903546641,44
"OTU724",45,0.444444444444444,63.5502916501635,45
"OTU1493",21,0.33276740237691,0,21
"OTU5779",43,0.446469248291572,56.5008830162084,43
"OTU1094",47,0.446469248291572,71.839370602191,47
"OTU5020",44,0.427015250544662,41.4820384676049,44
"OTU586",46,0.448512585812357,75.1732006238085,46
"OTU1682",45,0.446469248291572,59.1494844286188,45
"OTU1963",46,0.447488584474886,64.7379378151341,46
"OTU2574",36,0.370510396975425,5.53633723742106,36
"OTU379",43,0.415254237288136,84.9347779608711,43
"OTU5769",45,0.448512585812357,67.8192691953938,45
"OTU4442",23,0.421505376344086,38.4456372735714,23
"OTU5847",40,0.425162689804772,26.0469886230728,40
"OTU2055",36,0.370510396975425,5.53633723742106,36
"OTU4470",45,0.448512585812357,67.8192691953938,45
"OTU466",34,0.418803418803419,38.8256495743381,34
"OTU3933",37,0.376199616122841,64.5541440732996,37
"OTU1920",47,0.451612903225806,99.2562762408431,47
"OTU165",45,0.448512585812357,67.8192691953938,45
"OTU3163",43,0.426086956521739,34.9240701127767,43
"OTU4890",33,0.410041841004184,102.94883889976,33
"OTU925",41,0.428884026258206,30.6921337852116,41
"OTU5525",43,0.431718061674009,62.4223330268543,43
"OTU3179",40,0.401639344262295,60.5406368457824,40
"OTU5980",23,0.421505376344086,41.5271984876749,23
"OTU1144",45,0.439461883408072,137.636809915968,45
"OTU1511",45,0.448512585812357,67.8192691953938,45
"OTU4793",18,0.368421052631579,30.1882340741878,18
"OTU3077",45,0.448512585812357,67.8192691953938,45
"OTU2139",37,0.397565922920892,648.947677049199,37
"OTU364",25,0.435555555555556,115.837411054119,25
"OTU2072",29,0.421505376344086,286.006898388383,29
"OTU3180",22,0.402464065708419,104.16641746838,22
"OTU4332",20,0.376923076923077,54.3001796228403,20
"OTU6144",6,0.329411764705882,3.3818154247444,6
"OTU4628",26,0.422413793103448,550.271738661651,26
"OTU2495",29,0.428884026258206,131.856347513953,29
"OTU2683",3,0.311111111111111,2.19522500771282,3
"OTU2221",31,0.439461883408072,572.350930212933,31
"OTU5489",37,0.442437923250564,308.244268737969,37
"OTU1419",35,0.445454545454545,302.170963130354,35
"OTU3320",21,0.395161290322581,526.972011990808,21
"OTU2991",19,0.386587771203156,260.831104533093,19
"OTU2888",16,0.364312267657993,96.9114552582081,16
"OTU1489",17,0.358318098720293,64.3018533400356,17
"OTU3942",33,0.4375,169.061587613325,33
"OTU2659",12,0.349376114081996,35.8703339073252,12
"OTU3189",8,0.341463414634146,1.88223084789854,8
"OTU3448",9,0.392,326.078539989498,9
"OTU5057",14,0.394366197183099,214.73871769998,14
"OTU4383",7,0.373333333333333,13.8706962224587,7
"OTU282",9,0.337931034482759,168.836793453083,9
"OTU33",8,0.317152103559871,1.76082949308756,8
"OTU2430",12,0.360294117647059,23.0269240573339,12
"OTU5075",7,0.316639741518578,1.06082949308756,7
"OTU6260",30,0.37984496124031,422.152994263704,30
"OTU1761",2,0.308176100628931,8.68775067439582,2
"OTU3243",28,0.389662027833002,0.720773577187527,28
"OTU3080",25,0.405797101449275,108.566847906821,25
"OTU4935",10,0.389662027833002,18.4002466231436,10
"OTU5012",37,0.454756380510441,413.295638281254,37
"OTU1016",10,0.385826771653543,238.956658458489,10
"OTU6085",7,0.366355140186916,0.453885435515207,7
"OTU5561",5,0.360294117647059,0,5
"OTU4073",8,0.325041459369818,4.90524340962731,8
"OTU2874",7,0.347517730496454,180.09012540981,7
"OTU2932",6,0.306729264475743,0.800905406965653,6
"OTU2186",12,0.390438247011952,0.593270205615558,12
"OTU3321",11,0.357664233576642,220.821044271916,11
"OTU2408",13,0.413502109704641,110.539891418014,13
"OTU1989",14,0.413502109704641,16.8872470352921,14
"OTU3490",11,0.355072463768116,240.400852479078,11
"OTU664",13,0.353153153153153,177.302922041918,13
"OTU1453",10,0.35,89.3068915105409,10
"OTU2930",8,0.331641285956007,9.30750061262247,8
"OTU1579",3,0.348754448398576,0.392857142857143,3
"OTU1501",7,0.336192109777015,63.2779570354512,7
"OTU44",7,0.331641285956007,3.90990735677786,7
"OTU5558",6,0.316129032258064,0.2,6
"OTU5185",7,0.356363636363636,84.3880329816165,7
"OTU3232",5,0.313099041533546,3.97000894789493,5
"OTU445",5,0.317666126418152,8.59592962788431,5
"OTU1147",5,0.341463414634146,70.9513383189796,5
"OTU5986",6,0.296520423600605,20.36659055314,6
"OTU1272",6,0.31869918699187,48.4805063948171,6
"OTU5349",5,0.32183908045977,26.5433897308687,5
"OTU6237",6,0.338514680483592,128.496762107378,6
"OTU3074",2,0.305295950155763,0,2
"OTU4837",11,0.336192109777015,105.291609645088,11
"OTU6009",80,0.550561797752809,176.617366579306,80
"OTU712",47,0.446469248291572,71.839370602191,47
"OTU6030",23,0.384313725490196,139.789964703039,23
"OTU1093",14,0.367729831144465,81.4144571484067,14
"OTU1863",8,0.340277777777778,178.095180946576,8
"OTU6320",4,0.31869918699187,0,4
"OTU5654",2,0.336769759450172,0,2
"OTU1081",2,0.355072463768116,0,2
"OTU1414",5,0.322899505766063,44.72652586967,5
"OTU2878",2,0.305295950155763,0,2
